Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,OverAllAverage,Relative-Speed,Average1,Average2,average11,Speed1,Speed2
1,2,1,4,Long,Horizontal,L,2.047,0.003661264,0.003373259,0.000288005,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.46E-04
1,2,1,4,Short,Diagonal,R,1.037,0.004226637,0.003373259,0.000853378,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,6.79E-05
1,2,2,4,Long,Vertical,R,0.073,1.27E-04,0.003373259,-0.003246259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,1.66E-04
1,2,2,4,Short,Vertical,L,0.067,4.16E-04,0.003373259,-0.002957259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,6.17E-05
1,2,1,4,Long,Vertical,L,2.048,0.00365656,0.003373259,0.000283301,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,8.44E-05
1,2,1,4,Short,Vertical,R,1.004,0.0059567,0.003373259,0.002583441,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.21E-04
1,2,2,4,Long,Diagonal,R,1.005,0.001581775,0.003373259,-0.001791484,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,8.69E-05
1,2,2,4,Short,Horizontal,L,0.016,9.19E-05,0.003373259,-0.003281359,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,8.64E-05
1,2,1,4,Long,Diagonal,L,0.027,4.63E-05,0.003373259,-0.003326959,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,8.42E-05
1,2,1,4,Short,Horizontal,R,0.072,4.44E-04,0.003373259,-0.002929259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,7.77E-05
2,2,1,1,Short,Horizontal,R,0.064,4.59E-04,8.18E-04,-0.000359,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,8.25E-05
2,2,1,1,Short,Horizontal,L,5.014,0.031162098,0.000818069,0.030344029,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.04E-04
2,2,1,1,Short,Vertical,R,3.063,0.020284768,0.000818069,0.019466699,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,8.77E-05
2,2,1,1,Short,Vertical,L,0.085,5.62E-04,0.000818069,-0.000256069,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,6.97E-05
